id,generation,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,base_egg_steps,base_happiness,capture_rate,experience_growth,height_m,weight_kg,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,official_class,special_group
75,1,Graveler,rock,ground,390,55,95,115,45,45,35,3840,70,120,1059860,1.0,105.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,normal,none
75,1,Graveler Alolan Graveler,rock,electric,390,55,95,115,45,45,35,3840,70,120,1059860,1.0,105.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,0.25,1.0,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,normal,none
76,1,Golem,rock,ground,495,80,120,130,55,65,45,3840,70,45,1059860,1.4,300.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,normal,none
76,1,Golem Alolan Golem,rock,electric,495,80,120,130,55,65,45,3840,70,45,1059860,1.4,300.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,0.25,1.0,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,normal,none
77,1,Ponyta,fire,,410,50,85,55,65,65,90,5120,70,190,1000000,1.0,30.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
77,1,Ponyta Galarian Ponyta,psychic,,410,50,85,55,65,65,90,5120,70,190,1000000,1.0,30.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
78,1,Rapidash,fire,,500,65,100,70,80,80,105,5120,70,60,1000000,1.7,95.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
78,1,Rapidash Galarian Rapidash,psychic,fairy,500,65,100,70,80,80,105,5120,70,60,1000000,1.7,95.0,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,normal,none
79,1,Slowpoke,water,psychic,315,90,65,65,40,40,15,5120,70,190,1000000,1.2,36.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,normal,none
79,1,Slowpoke Galarian Slowpoke,psychic,,315,90,65,65,40,40,15,5120,70,190,1000000,1.2,36.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
