id,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,official_class,special_group
26,Raichu,electric,,485,60,90,55,90,80,110,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,normal,none
26,Raichu Alolan Raichu,electric,psychic,485,60,85,50,95,85,110,2.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,normal,none
27,Sandshrew,ground,,300,50,75,85,20,30,40,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,normal,none
27,Sandshrew Alolan Sandshrew,ice,steel,300,50,75,90,10,35,40,0.5,1.0,0.5,1.0,0.5,4.0,4.0,0.5,0.5,0.5,2.0,0.25,0.5,0.0,0.5,1.0,1.0,1.0,normal,none
28,Sandslash,ground,,450,75,100,110,45,55,65,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,normal,none
28,Sandslash Alolan Sandslash,ice,steel,450,75,100,120,25,65,65,0.5,1.0,0.5,1.0,0.5,4.0,4.0,0.5,0.5,0.5,2.0,0.25,0.5,0.0,0.5,1.0,1.0,1.0,normal,none
29,Nidoranâ,poison,,275,55,47,52,40,40,41,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
30,Nidorina,poison,,365,70,62,67,55,55,56,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
31,Nidoqueen,poison,ground,505,90,92,87,75,85,76,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,normal,none
32,Nidoranâ,poison,,273,46,57,40,40,40,50,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
33,Nidorino,poison,,365,61,72,57,55,55,65,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
34,Nidoking,poison,ground,505,81,102,77,85,75,85,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,normal,none
35,Clefairy,fairy,,323,70,45,48,60,65,35,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,normal,none
36,Clefable,fairy,,483,95,70,73,95,90,60,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,normal,none
37,Vulpix,fire,,299,38,41,40,50,65,65,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
37,Vulpix Alolan Vulpix,ice,,299,38,41,40,50,65,65,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,normal,none
38,Ninetales,fire,,505,73,76,75,81,100,100,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
38,Ninetales Alolan Ninetales,ice,fairy,505,73,67,75,81,100,109,0.5,0.5,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,4.0,1.0,normal,none
39,Jigglypuff,normal,fairy,270,115,45,20,45,25,20,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,normal,none
40,Wigglytuff,normal,fairy,435,140,70,45,85,50,45,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,normal,none
41,Zubat,poison,flying,245,40,45,35,30,40,55,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
42,Golbat,poison,flying,455,75,80,70,65,75,90,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
43,Oddish,grass,poison,320,45,50,55,75,65,30,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
44,Gloom,grass,poison,395,60,65,70,85,75,40,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
45,Vileplume,grass,poison,490,75,80,85,110,90,50,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
46,Paras,bug,grass,285,35,70,55,45,55,25,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,normal,none
47,Parasect,bug,grass,405,60,95,80,60,80,30,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,normal,none
48,Venonat,bug,poison,305,60,55,50,40,55,45,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
49,Venomoth,bug,poison,450,70,65,60,90,75,90,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
50,Diglett,ground,,265,10,55,25,35,45,95,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,normal,none
50,Diglett Alolan Diglett,ground,steel,265,10,55,30,35,45,90,0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,normal,none
51,Dugtrio,ground,,425,35,100,50,50,70,120,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,normal,none
51,Dugtrio Alolan Dugtrio,ground,steel,425,35,100,60,50,70,110,0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,normal,none
52,Meowth,normal,,290,40,45,35,40,40,90,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,normal,none
52,Meowth Alolan Meowth,dark,,290,40,35,35,50,40,90,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,normal,none
52,Meowth Galarian Meowth,steel,,290,50,65,55,40,40,40,0.5,1.0,0.5,1.0,0.5,2.0,2.0,0.5,1.0,0.5,2.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,normal,none
53,Persian,normal,,440,65,70,60,65,65,115,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,normal,none
53,Persian Alolan Persian,dark,,440,65,60,60,75,65,115,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,normal,none
54,Psyduck,water,,320,50,52,48,65,50,55,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
55,Golduck,water,,500,80,82,78,95,80,85,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
56,Mankey,fighting,,305,40,80,35,35,45,70,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,normal,none
57,Primeape,fighting,,455,65,105,60,60,70,95,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,normal,none
58,Growlithe,fire,,350,55,70,45,70,50,60,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
58,Growlithe Hisuian Growlithe,fire,rock,350,60,75,45,65,50,55,0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,normal,none
59,Arcanine,fire,,555,90,110,80,100,80,95,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
59,Arcanine Hisuian Arcanine,fire,rock,555,95,115,80,95,80,90,0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,normal,none
60,Poliwag,water,,300,40,50,40,40,40,90,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
61,Poliwhirl,water,,385,65,65,65,50,50,90,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
62,Poliwrath,water,fighting,510,90,95,95,70,90,70,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,normal,none
63,Abra,psychic,,310,25,20,15,105,55,90,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
64,Kadabra,psychic,,400,40,35,30,120,70,105,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
65,Alakazam,psychic,,500,55,50,45,135,95,120,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
65,Alakazam Mega Alakazam,psychic,,600,55,50,65,175,105,150,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
66,Machop,fighting,,305,70,80,50,35,35,35,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,normal,none
67,Machoke,fighting,,405,80,100,70,50,60,45,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,normal,none
68,Machamp,fighting,,505,90,130,80,65,85,55,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,normal,none
69,Bellsprout,grass,poison,300,50,75,35,70,30,40,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
70,Weepinbell,grass,poison,390,65,90,50,85,45,55,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
71,Victreebel,grass,poison,490,80,105,65,100,70,70,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
72,Tentacool,water,poison,335,40,40,35,50,100,70,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,normal,none
73,Tentacruel,water,poison,515,80,70,65,80,120,100,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,normal,none
74,Geodude,rock,ground,300,40,80,100,30,30,20,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,normal,none
74,Geodude Alolan Geodude,rock,electric,300,40,80,100,30,30,20,1.0,1.0,1.0,0.5,1.0,2.0,0.5,0.25,1.0,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,normal,none
75,Graveler,rock,ground,390,55,95,115,45,45,35,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,normal,none
75,Graveler Alolan Graveler,rock,electric,390,55,95,115,45,45,35,1.0,1.0,1.0,0.5,1.0,2.0,0.5,0.25,1.0,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,normal,none
76,Golem,rock,ground,495,80,120,130,55,65,45,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,normal,none
76,Golem Alolan Golem,rock,electric,495,80,120,130,55,65,45,1.0,1.0,1.0,0.5,1.0,2.0,0.5,0.25,1.0,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,normal,none
77,Ponyta,fire,,410,50,85,55,65,65,90,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
77,Ponyta Galarian Ponyta,psychic,,410,50,85,55,65,65,90,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
78,Rapidash,fire,,500,65,100,70,80,80,105,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
78,Rapidash Galarian Rapidash,psychic,fairy,500,65,100,70,80,80,105,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,normal,none
79,Slowpoke,water,psychic,315,90,65,65,40,40,15,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,normal,none
79,Slowpoke Galarian Slowpoke,psychic,,315,90,65,65,40,40,15,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
80,Slowbro,water,psychic,490,95,75,110,100,80,30,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,normal,none
80,Slowbro Mega Slowbro,water,psychic,590,95,75,180,130,80,30,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,normal,none
80,Slowbro Galarian Slowbro,poison,psychic,490,95,100,95,100,70,30,1.0,2.0,1.0,1.0,0.5,0.25,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,normal,none
81,Magnemite,electric,steel,325,25,35,70,95,55,45,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,normal,none
82,Magneton,electric,steel,465,50,60,95,120,70,70,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,normal,none
83,Farfetch'd,normal,flying,377,52,90,55,58,62,60,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,normal,none
83,Farfetch'd Galarian Farfetch'd,fighting,,377,52,95,55,58,62,55,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,normal,none
84,Doduo,normal,flying,310,35,85,45,35,35,75,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,normal,none
85,Dodrio,normal,flying,470,60,110,70,60,60,110,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,normal,none
86,Seel,water,,325,65,45,55,45,70,45,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
87,Dewgong,water,ice,475,90,70,80,70,95,70,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,normal,none
88,Grimer,poison,,325,80,80,50,40,50,25,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
88,Grimer Alolan Grimer,poison,dark,325,80,80,50,40,50,25,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,normal,none
89,Muk,poison,,500,105,105,75,65,100,50,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
89,Muk Alolan Muk,poison,dark,500,105,105,75,65,100,50,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,normal,none
90,Shellder,water,,305,30,65,100,45,25,40,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
91,Cloyster,water,ice,525,50,95,180,85,45,70,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,normal,none
92,Gastly,ghost,poison,310,30,35,30,100,35,80,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,normal,none
93,Haunter,ghost,poison,405,45,50,45,115,55,95,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,normal,none
94,Gengar,ghost,poison,500,60,65,60,130,75,110,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,normal,none
94,Gengar Mega Gengar,ghost,poison,600,60,65,80,170,95,130,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,normal,none
95,Onix,rock,ground,385,35,45,160,30,45,70,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,normal,none
